,Resistencia [Ohm],Temperatura_OCR [C],Resistencia_TERMISTOR [Ohm]
0,5395.6676,0.9,
1,5396.14556,1.0,
2,5396.7372,0.9,
3,5397.67412,1.1,
4,5402.94836,0.9,
5,5407.97836,0.8,
6,5409.90278,0.9,
7,5419.0153,0.9,
8,5419.39008,0.9,
9,5418.4720800000005,0.9,
10,5417.57726,0.9,
11,5416.27396,0.9,
12,5415.18122,0.9,
13,5401.64508,0.8,
14,5403.7231600000005,0.8400000000000001,
15,5405.74442,0.98,
16,5404.8012,1.2,
17,5405.98448,1.2,
18,5409.70906,1.4,
19,5408.25632,1.6800000000000002,
20,5407.93416,1.8,
21,5408.63738,1.9,
22,5410.30282,1.88,
23,5412.98522,1.8,
24,5411.04816,1.72,
25,5411.63768,1.7,
26,5413.83162,1.7,
27,5413.68422,1.6,
28,5410.2312,1.6,
29,5409.84382,1.6,
30,5410.9197,1.6,
31,5415.30754,1.6,
32,5417.341460000001,1.6,
33,5415.48862,1.6,
34,5417.97308,2.1,
35,5432.93044,4.220000000000001,
36,5445.68756,5.1,
37,5446.365540000001,4.08,
38,5444.01158,3.34,
39,5440.89336,3.0,
40,5437.60462,2.8,
41,5436.798220000001,2.78,
42,5439.03636,2.6,
43,5439.04266,2.6,
44,5439.44058,2.6,
45,5436.9982,2.6,
46,5436.31816,2.7,
47,5433.256800000001,2.6,
48,5430.40806,2.6,
49,5430.09014,2.7,
50,5430.816540000001,3.1,
51,5437.6235400000005,3.2,
52,5441.373440000001,3.3,
53,5443.91684,3.3,
54,5443.15464,3.3,
55,5442.85148,3.3,
56,5440.90812,3.28,
57,5442.99886,3.2400000000000007,
58,5445.1233,3.3,
59,5444.42006,3.3,
60,5445.41176,3.3,
61,5441.42816,3.3,
62,5441.40922,3.2,
63,5440.87864,3.3,
64,5440.99864,3.3,
65,5445.5865,3.46,
66,5448.2394,3.9,
67,5449.05004,3.98,
68,5449.77432,4.1,
69,5449.294260000001,4.1,
70,5450.8102,4.1,
71,5453.84058,4.1,
72,5455.221800000001,4.1,
73,5456.66616,4.3,
74,5459.59908,4.619999999999999,
75,5463.50686,4.839999999999999,
76,5466.83986,5.0,
77,5468.73266,5.1,
78,5469.82544,5.1,
79,5468.92218,5.2,
80,5468.22314,5.3,
81,5469.2548400000005,5.220000000000001,
82,5469.9307,5.2,
83,5468.461080000001,5.1,
84,5470.26966,5.2,
85,5468.99376,5.2,
86,5470.80026,5.159999999999999,
87,5473.6153,5.7,
88,5479.04742,6.1,
89,5484.15956,6.3,
90,5487.8673,6.359999999999999,
91,5489.1832,6.4,
92,5489.164280000001,6.4,
93,5491.0887,6.4,
94,5491.6803,6.4,
95,5492.40462,6.4,
96,5492.65938,6.4,
97,5495.87654,6.5,
98,5498.36314,6.8,
99,5499.71272,7.2,
100,5504.55536,7.479999999999999,
101,5509.663259999999,7.6,
102,5513.6152600000005,7.62,
103,5518.23468,7.7,
104,5522.123519999999,7.7,
105,5526.58714,7.7,
106,5526.530280000001,7.8,
107,5525.78914,7.7,
108,5525.36384,7.8,
109,5526.41448,7.8,
110,5526.692399999999,7.8,
111,5525.395420000001,7.8,
112,5523.883680000001,7.7,
113,5522.10036,7.8,
114,5521.35712,7.8,
115,5522.355099999999,7.8,
116,5520.99288,7.7,
117,5521.287600000001,7.8,
118,5526.532399999999,7.9,
119,5529.42954,8.319999999999999,
120,5533.364680000001,8.6,
121,5538.64942,8.940000000000001,
122,5546.191280000001,9.2,
123,5550.37488,9.4,
124,5553.703659999999,9.6,
125,5557.165080000001,9.6,
126,5558.27086,9.7,
127,5558.590880000001,9.7,
128,5556.4976400000005,9.7,
129,5556.042820000001,9.7,
130,5559.205680000001,9.8,
131,5562.39126,9.82,
132,5569.64044,10.580000000000002,
133,5572.9966,10.92,
134,5576.95698,11.3,
135,5581.5659,11.46,
136,5586.069519999999,11.56,
137,5605.98106,12.54,
138,5615.24522,13.22,
139,5624.14718,13.88,
140,5630.98372,14.2,
141,5637.10432,14.44,
142,5640.8226,14.6,
143,5648.427600000001,14.6,
