Tiempo (s),Temperatura (K),Resistencia (Ohm)
1.522,372.15,7.89E+03
6.545,372.85,7.89E+03
11.578,372.75,7.90E+03
16.58,372.55,7.90E+03
21.591,372.45,7.91E+03
26.646,372.35,7.92E+03
31.646,372.25,7.92E+03
36.659,372.05,7.93E+03
41.677,371.95,7.94E+03
46.686,371.85,7.95E+03
51.69,371.75,7.96E+03
56.71,371.55,7.97E+03
61.719,371.45,7.97E+03
66.744,371.35,7.98E+03
71.753,371.15,7.99E+03
76.762,371.05,8.00E+03
81.775,370.95,8.00E+03
86.785,370.85,8.01E+03
91.812,370.75,8.02E+03
96.822,370.55,8.03E+03
101.843,370.45,8.03E+03
106.859,370.35,8.04E+03
111.864,370.15,8.05E+03
116.886,370.05,8.05E+03
121.944,369.95,8.06E+03
126.954,369.85,8.07E+03
131.959,369.75,8.07E+03
136.962,369.65,8.08E+03
141.963,369.45,8.09E+03
147.319,369.35,8.09E+03
152.33,369.15,8.10E+03
157.342,369.05,8.11E+03
162.378,369.05,8.11E+03
167.387,368.95,8.12E+03
172.397,368.85,8.13E+03
177.413,368.75,8.13E+03
