Tiempo (s),Temperatura (K),Resistencia (Ohm)
1.553,415.95,+6.07089230E+03
6.562,417.75,+6.02850900E+03
11.570,419.34999999999997,+5.90880130E+03
16.596,421.54999999999995,+5.86149060E+03
21.920,423.25,+5.78657760E+03
26.939,424.95,+5.70827430E+03
31.953,426.54999999999995,+5.80982210E+03
36.964,428.25,+5.57649170E+03
41.965,431.25,+5.52913900E+03
50.210,432.84999999999997,+5.39749310E+03
55.218,434.34999999999997,+5.33816020E+03
60.264,436.04999999999995,+5.33381230E+03
65.271,437.65,+5.21704180E+03
70.282,439.45,+5.16627870E+03
75.298,441.54999999999995,+5.08260640E+03
81.969,442.84999999999997,+5.01927310E+03
86.979,444.75,+4.95762460E+03
91.998,446.04999999999995,+4.90330270E+03
97.001,447.34999999999997,+4.84261220E+03
102.044,449.04999999999995,+4.78543750E+03
107.098,451.15,+4.70898700E+03
113.802,452.65,+4.67178310E+03
119.134,453.84999999999997,+4.59240590E+03
124.162,455.45,+4.53326290E+03
129.162,456.75,+4.47371950E+03
134.167,458.25,+4.41950330E+03
139.180,459.75,+4.36117060E+03
144.199,461.25,+4.30366980E+03
149.202,462.54999999999995,+4.24824270E+03
154.210,463.95,+4.19872180E+03
159.216,465.34999999999997,+4.14304180E+03
164.232,466.65,+4.09700540E+03
169.235,468.04999999999995,+4.07180240E+03
174.277,469.34999999999997,+3.98245600E+03
179.298,471.15,+3.89815240E+03
186.551,472.45,+3.86926470E+03
191.598,473.84999999999997,+3.80918480E+03
196.608,475.15,+3.75110480E+03
201.614,476.34999999999997,+3.70258400E+03
206.633,477.34999999999997,+3.65321010E+03
211.649,478.75,+3.59909920E+03
216.663,479.95,+3.54612470E+03
221.678,481.25,+3.49923560E+03
226.679,482.45,+3.44874600E+03
231.698,483.54999999999995,+3.40176210E+03
236.699,484.95,+3.34619810E+03
241.702,485.95,+3.29948800E+03
246.705,487.25,+3.25129350E+03
251.731,488.25,+3.20494090E+03
256.740,489.34999999999997,+3.15964140E+03
261.766,491.15,+3.09457120E+03
268.694,492.04999999999995,+3.05077720E+03
273.697,493.04999999999995,+3.00745660E+03
278.731,494.45,+2.96309410E+03
283.742,495.25,+2.91802580E+03
288.742,496.45,+2.87595830E+03
293.765,497.75,+2.83450130E+03
298.778,498.54999999999995,+2.79286520E+03
303.797,499.84999999999997,+2.75077660E+03
308.800,501.34999999999997,+2.69184370E+03
316.095,502.15,+2.65401870E+03
321.096,503.15,+2.61454070E+03
326.103,504.15,+2.57667360E+03
331.111,505.15,+2.53805900E+03
336.116,506.45,+2.49937050E+03
341.128,507.34999999999997,+2.46250350E+03
346.136,508.54999999999995,+2.42585760E+03
351.148,509.25,+2.38821130E+03
356.161,511.15,+2.32596270E+03
364.894,512.05,+2.29087460E+03
369.931,513.05,+2.25897660E+03
374.935,513.65,+2.22847870E+03
379.949,514.45,+2.19975950E+03
384.962,515.05,+2.17377780E+03
389.963,515.65,+2.15017540E+03
394.964,516.15,+2.12696240E+03
399.966,516.75,+2.10790780E+03
404.972,517.15,+2.08884240E+03
410.013,517.55,+2.07136690E+03
415.031,517.95,+2.05520740E+03
420.032,518.3499999999999,+2.04030050E+03
425.046,518.55,+2.02667810E+03
430.065,518.8499999999999,+2.01352930E+03
435.065,519.05,+2.00851830E+03
440.072,519.15,+2.00562320E+03
445.081,519.25,+1.99953840E+03
450.098,519.45,+1.99372730E+03
455.103,519.45,+1.98841060E+03
460.113,519.45,+1.98495760E+03
465.117,519.45,+1.98109410E+03
470.119,519.3499999999999,+1.97870430E+03
475.133,519.25,+1.97696730E+03
480.143,519.15,+1.97572510E+03
485.151,519.15,+1.97479870E+03
490.177,519.05,+1.97443020E+03
495.185,518.95,+1.97346170E+03
500.186,518.95,+1.97193520E+03
505.203,518.95,+1.96954550E+03
510.214,518.8499999999999,+1.96687150E+03
515.229,518.95,+1.96357640E+03
520.230,519.05,+1.95948130E+03
525.230,519.15,+1.95514400E+03
530.233,519.3499999999999,+1.94996450E+03
535.237,519.45,+1.94475340E+03
540.240,519.55,+1.93873170E+03
545.284,519.65,+1.93198370E+03
550.295,519.75,+1.92533030E+03
555.297,519.95,+1.91880330E+03
560.301,520.05,+1.91211840E+03
565.309,521.15,+1.87579870E+03
589.483,521.25,+1.86758730E+03
594.494,521.55,+1.85935480E+03
599.496,521.75,+1.85211200E+03
604.499,522.05,+1.84416380E+03
609.511,522.25,+1.83652090E+03
614.530,522.55,+1.82759360E+03
619.531,522.65,+1.81991910E+03
624.537,522.95,+1.81191830E+03
629.537,523.15,+1.80357010E+03
634.550,523.45,+1.79477970E+03
639.563,523.65,+1.78665250E+03
644.566,523.95,+1.77846190E+03
649.570,524.25,+1.77077690E+03
654.596,524.45,+1.76277600E+03
659.598,524.65,+1.75429090E+03
664.600,524.95,+1.74595320E+03
669.602,525.15,+1.73860510E+03
674.605,525.45,+1.73049900E+03
679.609,525.75,+1.72243500E+03
684.663,525.95,+1.71448680E+03
689.663,526.25,+1.70606490E+03
694.666,526.45,+1.69808510E+03
699.677,526.75,+1.69042110E+03
704.697,526.95,+1.68211500E+03
709.700,527.25,+1.67523000E+03
714.704,527.45,+1.66961880E+03
719.727,527.45,+1.71390780E+03
733.380,524.8499999999999,+1.72777240E+03
762.710,524.05,+1.72967780E+03
767.728,523.45,+1.74470050E+03
